"n","proposed_cov","proposed_width","proposed_med_width","naive_cov","naive_width","naive_med_width","stdLLR_cov_tauRD","stdLLR_width","stdLLR_med_width","stdLLR_cov_tauPE","n_na","n_failed","n_success","tauRD","tau_partial","gamma"
500,0.9445,6.12941507183443,6.05229222704861,0.923,10.9062909580707,10.5163072778187,0.6505,1.86006545684854,1.85351547199598,0.9465,0,0,2000,1.72798089933862,1,0.5
1000,0.9495,4.51409555244401,4.48258206548985,0.941,8.04295981987906,7.85289319226571,0.4475,1.38014828014487,1.37780596280248,0.9535,0,0,2000,1.72798089933862,1,0.5
2000,0.9455,3.32716230617859,3.30476802346363,0.9435,5.94799751483732,5.86876831599365,0.1925,1.02107652463519,1.01711173126479,0.951,0,0,2000,1.72798089933862,1,0.5
4000,0.949,2.46289864496167,2.4528238985633,0.9435,4.40403041222425,4.36424096321773,0.04,0.758199927968815,0.75424565002672,0.945,0,0,2000,1.72798089933862,1,0.5
8000,0.958,1.82444596358731,1.81584052585318,0.9525,3.26163930399811,3.2488458589649,0.001,0.562608607844294,0.55826950922785,0.943,0,0,2000,1.72798089933862,1,0.5
16000,0.943,1.35036234006383,1.34451118786398,0.947,2.41847157794706,2.40797291340853,0,0.417179494194783,0.413891724048107,0.955,0,0,2000,1.72798089933862,1,0.5
32000,0.945,1.00435433572221,0.997594122488917,0.953,1.79661899045334,1.78639728490824,0,0.30978129465327,0.30715986679909,0.9425,0,0,2000,1.72798089933862,1,0.5
64000,0.94,0.745510474552141,0.740374209552159,0.9375,1.3381449015602,1.32959028460575,0,0.229984022559817,0.227867730641787,0.951,0,0,2000,1.72798089933862,1,0.5
500,0.947,9.87432580411083,9.52523730238816,0.9165,46.1386168065839,26.7386866716651,0.015,1.86006545684854,1.85351547199598,0.9465,0,0,2000,2.98625450208264,1,0.8
1000,0.9545,7.07460121685206,6.93121320543749,0.9405,23.2692987728996,19.7309103323797,5e-04,1.38014828014487,1.37780596280248,0.9535,0,0,2000,2.98625450208264,1,0.8
2000,0.95,5.04022410872873,4.96000564519854,0.9425,15.7327212503882,14.5848420825187,0,1.02107652463519,1.01711173126479,0.951,0,0,2000,2.98625450208264,1,0.8
4000,0.9425,3.68507956124635,3.64192974045917,0.955,11.2978179914469,10.8402129985846,0,0.758199927968815,0.75424565002672,0.945,0,0,2000,2.98625450208264,1,0.8
8000,0.952,2.68944069202028,2.6648156601078,0.953,8.28729795615287,8.12992974118891,0,0.562608607844294,0.55826950922785,0.943,0,0,2000,2.98625450208264,1,0.8
16000,0.9455,1.99418593144819,1.97922836907667,0.9495,6.13038788421296,6.03444142236338,0,0.417179494194783,0.413891724048107,0.955,0,0,2000,2.98625450208264,1,0.8
32000,0.9475,1.47996577942249,1.46923874519245,0.9555,4.55093050680188,4.51117465367341,0,0.30978129465327,0.30715986679909,0.9425,0,0,2000,2.98625450208264,1,0.8
64000,0.932,1.1055649712367,1.1008654826714,0.93,3.39564398400558,3.3719259757754,0,0.229984022559817,0.227867730641787,0.951,0,0,2000,2.98625450208264,1,0.8
500,0.9555,17.6774659612926,16.3127367885114,0.8855,141362.880584501,83.7784848949339,0,1.86006545684854,1.85351547199598,0.9465,0,0,2000,4.27330612055719,1,1
1000,0.965,12.4222245555333,11.8293611903677,0.92,88801326.5504195,61.9969740066071,0,1.38014828014487,1.37780596280248,0.9535,0,0,2000,4.27330612055719,1,1
2000,0.9495,8.73080830339636,8.53695971952998,0.9435,11034.2766304737,46.0939519052528,0,1.02107652463519,1.01711173126479,0.951,0,0,2000,4.27330612055719,1,1
4000,0.945,6.34752710788658,6.23286697632011,0.957,159.669588826356,33.8567503833875,0,0.758199927968815,0.75424565002672,0.945,0,0,2000,4.27330612055719,1,1
8000,0.9555,4.60336525782474,4.56425356924061,0.969,29.6646300662267,24.5258963528099,0,0.562608607844294,0.55826950922785,0.943,0,0,2000,4.27330612055719,1,1
16000,0.9435,3.41475846883079,3.39790428169584,0.9745,19.814309510578,18.1674726053541,0,0.417179494194783,0.413891724048107,0.955,0,0,2000,4.27330612055719,1,1
32000,0.9445,2.55537947574732,2.54659709086962,0.96,14.3354697665443,13.7467416290293,0,0.30978129465327,0.30715986679909,0.9425,0,0,2000,4.27330612055719,1,1
64000,0.9315,1.92461169849515,1.92950374583009,0.892,10.6690936270203,10.4598098332802,0,0.229984022559817,0.227867730641787,0.951,0,0,2000,4.27330612055719,1,1
