gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.008
0.0,2,-2.5382006996465347,0.008
0.0,4,-2.5382006996465347,0.008
0.0,8,-2.5382006996465347,0.008
0.9583333333,1,-162.90508336468028,0.5780130161652058
0.9583333333,2,-182.5776865453667,0.6437184374399684
0.9583333333,4,-185.4761391294517,0.6535378671969678
0.9583333333,8,-185.52556330634286,0.6536988320328623
0.9791666667,1,-239.57981697815387,0.8222657367775904
0.9791666667,2,-322.24449230975955,1.0889170505027155
0.9791666667,4,-363.4927430916901,1.2230864642288444
0.9791666667,8,-369.6798827511388,1.2428162479422387
0.9895833333,1,-295.5965567830016,0.9875933449411823
0.9895833333,2,-466.5506519838917,1.5239887399824648
0.9895833333,4,-633.3849823420547,2.0498485405929165
0.9895833333,8,-716.6536610758219,2.3110132373729533
0.9947916667,1,-329.79296748012484,1.0843174482790698
0.9947916667,2,-576.1994232908868,1.8448708618824963
0.9947916667,4,-919.0746624967842,2.905995224427735
0.9947916667,8,-1251.6741069299426,3.9390708254098405
1.0,1,-369.0340354320575,1.192
1.0,2,-724.7380277934241,2.2702
1.0,4,-1440.2116737595256,4.4408
1.0,8,-2865.1791805423845,8.8183
